rijschool,plaats,aantal_examens,slagingspercentage_eerste_examens,slagingspercentage_alle_examens,weighted_rate_first70_all30,weighted_volume_adjusted_score,rank_first_weighted
Jve Rijopleidingen B.V. t.h.o.d.n. ANWB Rijopleiding,'S-HERTOGENBOSCH,264,59,61,59.6,53.58,16
Rijschool Inseen,'S-HERTOGENBOSCH,196,49,51,49.6,42.68,45
Rijschool Masto,'S-HERTOGENBOSCH,178,49,48,48.7,41.46,47
Verkeersschool Bakker V.O.F.,VLIJMEN,175,59,57,58.4,50.99,23
Autorijschool van Hoorn,'S-HERTOGENBOSCH,172,59,62,59.9,52.44,19
Les & Slaag,SINT-MICHIELSGESTEL,130,55,59,56.2,47.61,35
Verkeersschool Erico v.d. Broek,ROSMALEN,118,64,64,64,55.02,13
Rijschool Danny van den Bergh,ROSMALEN,109,56,57,56.3,46.93,40
Autorijschool Safe Away,'S-HERTOGENBOSCH,109,32,40,34.4,26.15,85
Autorijschool Johan Helvoirt,HELVOIRT,105,45,50,46.5,37.25,59
G.J.C.J. Hanegraaf,ROSMALEN,103,4,18,8.2,4.29,118
Rijschool Kaniwar,'S-HERTOGENBOSCH,99,51,45,49.2,39.57,52
Autorijschool van Grunderbeek,ROSMALEN,98,58,67,60.7,50.8,24
HalimRijschool,VUGHT,97,24,31,26.1,18.39,103
Van der Steen t.h.o.d.n. NXXT,'S-HERTOGENBOSCH,95,37,48,40.3,31,78
P. Heins Rijopleidingen,AMMERZODEN,90,48,49,48.3,38.26,56
M. van Heugten,ROSMALEN,87,63,59,61.8,51.3,22
Autorijschool Van Grootel,'S-HERTOGENBOSCH,87,44,37,41.9,32.09,74
"Autorijschool ""De Parel""",ROSMALEN,87,17,30,20.9,13.68,108
Motorrijles Max,'S-HERTOGENBOSCH,86,54,43,50.7,40.33,50
Autorijschool Coenen,'S-HERTOGENBOSCH,83,60,58,59.4,48.65,30
Autorijschool Gertine Kollenburg,ALEM,83,44,45,44.3,34.1,67
Sterre Autorijschool,'S-HERTOGENBOSCH,83,34,43,36.7,27.13,83
Autorijschool Valentina T.H.O.D.N. NXXT,'S-HERTOGENBOSCH,82,49,59,52,41.34,48
Rijschool Azizi,'S-HERTOGENBOSCH,80,35,40,36.5,26.79,84
Autorijschool Amir,'S-HERTOGENBOSCH,79,69,53,64.2,53.2,17
Autorijschool Avalon,ROSMALEN,78,42,51,44.7,34.17,66
Autorijschool Driss,'S-HERTOGENBOSCH,76,69,66,68.1,56.97,11
Rijschool Willi Horváth,'S-HERTOGENBOSCH,76,42,49,44.1,33.49,69
Rij-Nu,VUGHT,75,49,59,52,40.87,49
J.M. van Eijk,'S-HERTOGENBOSCH,74,58,61,58.9,47.52,36
Rijschool Erik Brok,HERPT,67,39,46,41.1,30.11,80
Autorijschool Reches,VUGHT,67,23,30,25.1,16.26,105
Autorijschool Kwaks,NULAND,65,54,57,54.9,42.87,44
Autorijschool Heinsman,'S-HERTOGENBOSCH,62,37,44,39.1,27.93,82
Praktijkfixers,'S-HERTOGENBOSCH,62,41,44,41.9,30.45,79
Rijschool Ron Veen t.h.o.d.n. NXXT,HEDEL,61,29,39,32,21.66,92
Autorijschool Marcel van den Heuvel,ROSMALEN,59,74,78,75.2,62.87,4
Rob Moggre,ROSMALEN,58,63,64,63.3,50.43,25
WeGo academy,'S-HERTOGENBOSCH,58,29,31,29.6,19.42,98
Autorijschool De Groene Golf,ROSMALEN,56,44,48,45.2,32.89,72
Rijschool Guido,'S-HERTOGENBOSCH,54,42,50,44.4,31.96,76
Autorijschool Nieuwelaar,VUGHT,51,61,65,62.2,48.48,31
Rijles Mera,'S-HERTOGENBOSCH,51,65,59,63.2,49.48,28
Rijschool Henk van Heck,ROSSUM GLD,47,39,57,44.4,31.16,77
Auto en Motorrijschool Erik Barella,'S-HERTOGENBOSCH,46,71,76,72.5,58.25,8
Autorijschool Hans de Ruiter t.h.o.d.n. LesGO,ROSMALEN,46,42,59,47.1,33.46,70
rij-correct,'S-HERTOGENBOSCH,46,46,48,46.6,33.01,71
Autorijschool Driezeeg,BERLICUM NB,45,32,49,37.1,24.53,87
Verkeersschool Vlaspoel,ROSMALEN,44,62,68,63.8,49.03,29
Time2drive,'S-HERTOGENBOSCH,44,58,59,58.3,43.65,43
Autorijschool Thomassen,ROSMALEN,42,55,60,56.5,41.59,46
Verkeersschool Marc van Hazendonk,ROSMALEN,42,28,48,34,21.56,93
NRV Autorijschool,'S-HERTOGENBOSCH,41,73,71,72.4,57.26,10
Rijschool Van Dijk,HEDEL,41,67,71,68.2,52.92,18
Rijschool Polman,'S-HERTOGENBOSCH,41,48,61,51.9,37.11,61
Autorijschool Sam,'S-HERTOGENBOSCH,40,55,53,54.4,39.27,53
Rijschool van Herwaarden,KERKDRIEL,40,33,38,34.5,21.72,91
Rijschool van Venrooij,ROSMALEN,39,80,72,77.6,62.4,5
Autorijschool van de Sande,VLIJMEN,39,63,59,61.8,46.15,41
Autorijschool de Gier,VUGHT,38,74,79,75.5,59.92,7
Autorijschool de Leeuw,VUGHT,38,53,53,53,37.6,57
Autorijschool Boone,BERLICUM,37,65,68,65.9,49.79,27
Autorijschool Wagenaar,'S-HERTOGENBOSCH,36,44,58,48.2,32.86,73
Rijschool Maximo,ROSMALEN,35,68,69,68.3,51.75,21
Anton Snelrijles,'S-HERTOGENBOSCH,35,68,63,66.5,49.93,26
Frans Kollenburg Autorijschool,ALEM,35,55,49,53.2,37.19,60
Autorijschool J.P. Valentijn t.h.o.d.n. NXXT,VLIJMEN,35,22,43,28.3,16.12,106
Rijschool Starters,'S-HERTOGENBOSCH,35,35,37,35.6,21.9,90
Autorijschool Eddy Kok,NIEUWKUIJK,34,88,82,86.2,70.94,2
