rijschool,plaats,aantal_examens,slagingspercentage_eerste_examens,slagingspercentage_alle_examens,weighted_rate_first70_all30,weighted_volume_adjusted_score,rank_first_weighted,research_status,sample_n,pass_rate_basis,pass_rate_ci_low,pass_rate_ci_high,ci_width,years_in_business,maturity_flag,low_volume,reliability_adjusted_score,english_instruction,english_confidence,english_evidence,english_source,transmission,transmission_source,founding_year,founding_year_basis,founding_confidence,website,phone,address,postcode,kvk_number,cbr_rijschoolnummer,google_rating,review_count,price_signal,waitlist_signal,notes,meets_min_sample,availability,locality,review_trust,review_substance,sentiment_index,sentiment_label,sentiment_source,sentiment_confidence,review_summary,review_themes_pos,review_themes_neg,review_red_flags,english_in_reviews,review_verified,reviews_read,review_modifier,decision_score
Jve Rijopleidingen B.V. t.h.o.d.n. ANWB Rijopleiding,'S-HERTOGENBOSCH,264,59,61,59.6,53.58,16,ok,264,first_exam,53.0,64.8,11.8,18,established,no,53.0,yes,med,"Multiple English-language learner reviews on the Google/rijloket profile, e.g. 'So far I had a profles and first 2 hours driving lesson with ANWB driving school in Den Bosch ... my instructor ... explains things well and very helpful' and 'I really like ANWB. They offer excellent driving courses with professional instructors'. ANWB national site also offers 'Information in English'.",https://rijloket.nl/rijscholen/s-hertogenbosch/jve-rijopleidingen-b-v-t-h-o-d-n-anwb-rijopleiding-s-hertogenbosch,both,https://rijloket.nl/rijscholen/s-hertogenbosch/jve-rijopleidingen-b-v-t-h-o-d-n-anwb-rijopleiding-s-hertogenbosch,2008,website,med,https://www.anwb.nl/auto/rijbewijs/rijschool-den-bosch,073 623 2444,Graaf van Solmsweg 50A,5222 BP,68525648,5506K8,3.5,64,"Proefles (trial lesson) costs €45, free if you continue lessons; package deals advertised (no per-hour rate published)",,"ANWB Rijopleiding franchise; the operating legal entity is Jve Rijopleidingen B.V. (KvK 68525648; rijschoolspecialist lists vestigingsnummer 685256480000). CONFLICTING FOUNDING SIGNALS: rijloket states this specific local school is 'Actief sinds 2008 / Sinds 2008', while the national ANWB Rijopleiding brand (Den Haag, the franchisor) was 'opgericht in 1997'. Used 2008 as it reflects this local entity. Offers faalangst (test-anxiety) training and theory lessons. Large school: ~165-288 B exams/year (264 CBR exams last 12 months per source data). Mostly schakel/manual (123 exams) with automaat available (19 exams). Above-average pass rate (~60.6% B, +11.9% vs national). Examenlocatie: Den Bosch.",yes,unknown,in_city,moderate,mixed,58,mixed,openai,medium,"Students are split: positive reviews praise clear instructors (Ahmed, Fatiha), a friendly and engaged office team, and passing first time, while a substantive minority of Google reviews complain about being upsold unnecessary lessons, treated as 'a number', long waits for (re)exams, and high costs without targeted coaching. The ANWB-owned verified platform (Tevreden.nl) skews more positive but with very short, survey-style comments.",duidelijke uitleg; vriendelijke en professionele medewerkers; persoonlijke en behulpzame begeleiding; fijne lesstijl; goede sfeer; snelle opleiding; in één keer geslaagd,onnodig extra lessen aangesmeerd; niet studentgericht; te zakelijk/commercieel; lange wachttijden voor lessen; te veel leerlingen; meerdere examens niet gehaald; hoge kosten,"Sharp polarisation: Google rating only 3.6/5 (58 reviews) with several substantive 1-star reviews, while the ANWB-owned Tevreden.nl platform shows much higher instructor scores (~8.9) -- the verified-platform reviews are very short and skew positive, suggesting solicited post-lesson surveys.; Multiple independent complaints about being upsold unnecessary lessons and treated 'als een nummer' (as a number).; Tevreden.nl per-location page is JS-rendered and did not expose individual Den Bosch review bodies on extraction; only two snippets are confirmable from the ANWB site.",unclear,yes,14,1.014,59.4
Rijschool Inseen,'S-HERTOGENBOSCH,196,49,51,49.6,42.68,45,ok,196,first_exam,42.1,56.0,13.9,11,established,no,42.1,unknown,low,,,unknown,,2015,kvk,high,https://inseen.nl,06-42117033,Dinkelstraat 17,5215 GN,63978520,6763G6,5.0,128,"Car: €75/60min; packages €2890 (32u) / €3545 (41,5u) / €4312 (51,5u); proefles €85. Motor package €2100. Trailer BE day course €750.",,"Strongly motorcycle/motor-focused alongside car (B), trailer (BE) and AM/scooter; large share of CBR exams are A-category (clickdrive shows ~1000+ motor exams). Instructors named Ronny/Ronnie and Erwin. KvK 63978520 founding date 25-08-2015 (rijscholen-gids.nl, KvK-sourced); clickdrive states '11 jaar ervaring' (~2015), consistent. Website inseen.nl (alias rijschoolinseen.nl) is Dutch-only (WPML switcher shows only NL flag, no EN page); no English/Engels mention found, but no explicit 'Dutch-only/no English' statement either, so english_instruction left unknown. No automaat vs schakel/handgeschakeld statement on own site or aggregators, so transmission left unknown (no evidence of automatic offering). Pass-rate signals conflict across aggregators (rijschoolspecialist 59%, rijlessen.net 86%, clickdrive per-category). Google rating 5.0/128 reviews per clickdrive.nl.",yes,unknown,in_city,moderate,mixed,95,very_positive,openai,high,"Students consistently praise instructors Ronny and Erwin as patient, professional and good-humoured, with many reporting they passed in one attempt - especially for the motorcycle (A/AVB/AVD) and trailer (BE) categories, which dominate the reviews. The picture is overwhelmingly positive (5.0/5 over ~128 Google reviews) but rests entirely on Google and Facebook with no independent verified-platform reviews and no negative or English-language feedback, so the unbroken positivity should be read with mild caution.",vriendelijke en geduldige instructeurs; duidelijke en nuttige uitleg; professionele en leerzame lessen; gezellige en ontspannen sfeer; persoonlijke begeleiding en meedenken; snel slagen / in één keer gehaald; goede service; geschikt voor kleinere rijders,,"Perfect 5.0/5 average across ~128 Google reviews with zero negative or mixed reviews visible; Cluster of near-identical short 5-star one-liners (e.g. 'Top rijschool!', 'Top rijschool!!!') suggesting some solicited/low-substance reviews; No reviews on independent verified platforms (no Inseen-specific klantenvertellen.nl or Trustpilot page found); reliance on Google + Facebook only; Heavy concentration on motorcycle lessons; few car-license review specifics despite car being offered",no,no,18,1.081,47.6
Rijschool Masto,'S-HERTOGENBOSCH,178,49,48,48.7,41.46,47,ok,178,first_exam,41.8,56.3,14.5,4,establishing,no,41.8,unknown,low,,,unknown,,2022,website,med,https://rijschoolmasto.nl,+31 6 84706098,"Hadewychstraat 93, 5216 KC 's-Hertogenbosch",5216 KC,85895121,1396N3,5.0,35,"Losse rijles (50 min) €50; Pakket A €524,95 (5 lessen, 1x praktijkexamen); Pakket B €1489,95 (25 lessen); Pakket D €2199,95 (40 lessen); motor AVB-cursus €600",,"Auto (B) + motor (A) driving school in Den Bosch run by Aymen Masto (CBR contact aymenmasto22@gmail.com). Founding inferred from '4 jaar ervaring' on clickdrive.nl and educarplatform.nl (2026 - 4 = ~2022), consistent with KvK 85895121 registration era. No evidence found for English instruction on website or aggregators. No transmission (automaat/schakel) info published anywhere for Masto; website only references 'Personenauto'. Rating varies by source: 5.0/5 (35 reviews) on rijscholenvergelijken.nl vs 4.8/5 (34 reviews) on clickdrive.nl. CBR slagingspercentage relatively low (~45-49% in Den Bosch, below city average ~61%). English/transmission mentions appearing in search results belonged to OTHER Den Bosch schools (Start Driving, Scoobz), not Masto.",yes,unknown,in_city,insufficient,thin,5,very_negative,openai,high,"Rijschool Masto's only review footprint is Google Reviews (34 reviews, 4.8/5 aggregate per clickdrive/EduCar); there are no independent verified reviews (no klantenvertellen, Trustpilot, ANWB). Only one review body was actually readable, a recent 1-star Dutch review attacking a coach ('Talib') as a 'minutendief' (time-waster) and rude to students; the many positive reviews implied by the 4.8 score could not be read because their text is JS-rendered.",,slechte coach; grote teleurstelling; minutendief; onrespectvolle communicatie; gebrekkige begeleiding,"Only review source is Google Reviews (34 reviews, 4.8/5 aggregate); no presence on klantenvertellen, Trustpilot, Trustoo, ANWB/Tevreden, or Facebook.; Individual positive Google review bodies are JavaScript-rendered and could not be retrieved; only the single most-recent 1-star review body was scrapeable, so the captured corpus is one-sided by extraction limitation, not by cherry-picking.; The one readable review is a generic insult-driven 1-star with no concrete lesson detail beyond name-calling ('minutendief'), so its substance is low.; CBR official first-time practical pass rate at Den Bosch is ~48-49%, below the 54% location average; debesterijscholen.nl ranks Masto #22 locally at 45% pass rate (context, not review text).; Aggregate 4.8/5 from only 34 Google reviews is plausible but unverifiable at the text level with available tools.",unclear,no,1,1.0,38.5
Verkeersschool Bakker V.O.F.,VLIJMEN,175,59,57,58.4,50.99,23,ok,175,first_exam,51.6,66.0,14.4,35,established,no,51.6,unknown,low,"No source mentions English/Engelse rijles. Aggregator autorijschooltarieven.nl lists language as 'Nederlands' only; school's stated specialisms are autism/ADHD and faalangst (Dutch-language special-needs instruction), not expat/English lessons.",https://www.autorijschooltarieven.nl/rijschool/vs-bakker-vof,both,https://www.vlijmen4you.nl/verkeersschool-bakker,1991,website,high,https://verkeersschool-bakker.nl,(073) 888 99 00 / 06 51 43 42 79,Parallelweg-West 54 D,5251JG,55956998,0318X8,4.9,18,"Personenauto €45,50/uur; Motor €46,50/uur; Auto+aanhanger €51/uur (autorijschooltarieven.nl). EduCar calculator default ~€60/les.",,"Founded 1991 (explicit on vlijmen4you.nl 'Vanaf 1991' and confirmed by baxopleidingen.nl press release 'opgericht in 1991'). Per 1 augustus 2025 acquired by Bax Opleidingen but continues to operate under the name 'Verkeersschool Bakker' with the same instructors and CBR rijschoolnummer 0318X8 (Den Bosch exam location). Special-needs focus: autism/ADHD lessons (www.autisme-adhd-rijles.nl) and faalangst (test-anxiety) instruction. Offers RIS, driving simulator, spoedopleidingen. Both manual (RIS standard) and automaat lessons confirmed. Address: current ops at Parallelweg-West 54D 5251JG (CBR/aggregators); older/secondary listing Plein 5a 5251AS. CBR official aantal eerste examens (auto) 109, slagingspercentage 59%. No English-instruction evidence found; not positioned for expats. KvK shown as 559569980000 on aggregator is the 8-digit 55956998 plus vestiging suffix.",yes,unknown,nearby,moderate,mixed,93,very_positive,openai,high,"Across ~18 Google reviews (4.9/5, aggregated on clickdrive), students consistently describe calm, patient instructors who explain mistakes clearly, name individual instructors (Eric, Frank, Hans, Bas), and repeatedly mention regaining confidence after a bad experience elsewhere; several passed first time. The picture is uniformly positive with no critical reviews surfaced, and no independent verified-customer reviews (klantenvertellen) were found.",rustige en kalme instructeurs; geduldige en duidelijke uitleg; veilig en vertrouwd lesgevoel; goede begeleiding en planning; snelle slagingskansen; vergroten van zelfvertrouwen; vriendelijk en meedenkend personeel; comfortabele lesauto's,,"All reviews 4-5 stars with no critical or mixed feedback visible, which can indicate solicited/curated display; No independent verified-customer platform (no klantenvertellen page) found; only Google reviews aggregated via clickdrive; Only ~18 Google reviews total despite 30+ years operating and 200+ exams; several entries are one-liners or 'Geen beschrijving' (no text); Some five-star reviews are from business relations (e.g. DJJD Scooters B.V., the scooter supplier) rather than students",unclear,no,16,1.077,63.4
Autorijschool van Hoorn,'S-HERTOGENBOSCH,172,59,62,59.9,52.44,19,ok,172,first_exam,51.5,66.1,14.6,29,established,no,51.5,unknown,low,,,unknown,,1997,website,med,https://rijschoolvanhoorn.nl,06 18 94 25 44,Stadskampstraat 15,5223XW,17183304,3517Z8,3.0,12,€65/uur (60 min); praktijkexamen €280; theoriecursus 5x2u incl. examen €170,,"Family-run eenmanszaak operated by Hans, Bart and Martien van Hoorn (father & sons), 'Autorijschool H. van Hoorn & Zn.'. Own site claims 29 years experience, 110 licenses/year, 65% pass rate, ~23 lessons avg. CBR Den Bosch exam location; rijbewijs B (car) only, also bromfiets theory. Own site and all reviews are Dutch only - no English page or English-lesson signal found. No automaat-vs-schakel distinction stated anywhere. Note a separate but related entity 'Autorijschool Bart van Hoorn' (KvK 62635808, rijschoolnummer 8551H4) shares the same address; the CBR-active record matching the 172-exam school is the main 'van Hoorn' rijschoolnummer 3517Z8. Do NOT confuse with 'Autorijschool Martien van Hoorn' KvK 76036405 (separate 2019 registration at a different address). English-focused Den Bosch results (drivingschooldenbosch.com, startdrivingdenbosch.nl) are unrelated schools based in Almere.",yes,unknown,in_city,moderate,mixed,86,positive,openai,high,"Independent written reviews (mostly 2010-2014 on autorijschooltarieven.nl) praise instructors Hans and Bart for clear, patient, humorous teaching, turning around students who had failed elsewhere and getting them through in one go; one genuine negative review complains the school never called back after repeated info requests, and the independent Google aggregate sits at a mediocre 3.0/5 over 12 reviews, so the overall picture is positive-but-mixed rather than uniformly glowing.",duidelijke uitleg; veel leren; humor en prettige sfeer; snelle/één-keer slagingskans; ingrijpen bij fouten; leren op eigen tempo; persoonlijke begeleiding,niet teruggebeld,"Independent Google aggregate is only 3.0/5 over 12 reviews, well below the glowing tone of the older written reviews; Most substantive written reviews are 10-15 years old (2010-2014); little recent independent review text found; No klantenvertellen / verified-reviews page exists for this school; Quotes on the school's own website (Daphne, Diona, Jimmy, Zoe) are self-published testimonials, not independent; A defensive owner-style reply to an anonymous critical post appears in the third-party thread",no,no,10,1.065,62.6
Les & Slaag,SINT-MICHIELSGESTEL,130,55,59,56.2,47.61,35,ok,130,first_exam,46.4,63.3,16.9,10,established,no,46.4,no,med,Directory language field lists 'Taal: Nederlands'; one-man Dutch-only school (single instructor Eric Jordans) with no English/'over ons in English' page on its own website.,https://www.autorijschooltarieven.nl/rijschool/les-slaag,unknown,,2016,website,high,https://lesenslaag.nl,06 55 37 30 92,Olmenlaan 2,5271RP,73159085,7751N9,4.9,188,"€59/uur (losse les, incl. BTW; geen vaste pakketten)","No waitlist signal; website states 'JE KUNT MORGEN BEGINNEN' (can start tomorrow, appointment can be scheduled the next day).","One-man rijschool: single instructor/owner Eric Jordans, one car, same instructor every lesson. Active in Sint-Michielsgestel, 's-Hertogenbosch (Den Bosch) and surrounding municipalities; CBR exam location Den Bosch. Founding 2016 corroborated by clickdrive/educar ('opgericht in 2016') and rijloket ('Sinds 2016 actief'); a clickdrive badge says '10 jaar ervaring' which is consistent with 2016. Transmission type (automaat vs schakel) not stated on any source. Rating/review_count is the clickdrive aggregate (4.9/5, 188 reviews); educar shows 4.9 (100) and rijschoolspecialist only 1 review, so exact review count is uncertain. CBR slagingspercentage ~59-60% over 116 exams (Den Bosch).",yes,open,nearby,moderate,mixed,95,very_positive,openai,high,"Students consistently describe Eric (sole instructor, one car) as calm, patient and clear, with personalised lessons, a structured exam-focused approach and joint reflection on mistakes; many report passing in one go, including a notable case of learning to drive with one eye. All reviews are in Dutch with Dutch reviewer names and no mention of English-language instruction.",duidelijke uitleg; rustige en geduldige instructeur; persoonlijke begeleiding; snel leren; goede voorbereiding op examen; zelfvertrouwen opbouwen; goede communicatie; vaste instructeur,,"No independent verified-review profile (no klantenvertellen), so reviews are not confirmed-customer verified; Bulk of substance comes from Google reviews aggregated via a third-party (clickdrive.nl); only a couple of standalone reviews found elsewhere; A few one-line generic 5-star entries (e.g. 'Top rijschool!') among otherwise specific reviews; No negative or low-star reviews surfaced, so the picture may be skewed positive",no,no,18,1.081,50.7
Verkeersschool Erico v.d. Broek,ROSMALEN,118,64,64,64,55.02,13,ok,118,first_exam,55.0,72.1,17.1,61,established,no,55.0,unknown,low,,,unknown,,1965,website,high,https://www.verkeersschoolvdbroek.com,(073) 521 03 06,Molenstraat 20,5242HA,16052957,7768F2,4.8,189,Auto (B): €71/60min; pakket 30 lessen incl. praktijkexamen €2360,,"Family/regional school active in Rosmalen, Vught, Den Bosch e.o. Specialises in faalangst (test anxiety) learners; also offers Motor (A) and Aanhanger (BE) with very high pass rates (96-100% claimed). Two contact persons: Erico vd Broek (Motor/Aanhanger) and Franc Jaspar (Auto). Founding conflict: own website explicitly states 'Al sinds 1965' (used here), but rijschool-tips.nl states the eenmanszaak was founded '39 jaar geleden' (~1987) and rijloket.nl says 'sinds 1990' - the 1965 figure likely reflects the family business lineage. No English-instruction signal found on own site or aggregators (all reviews Dutch). No explicit automaat/schakel statement found, so transmission left unknown. Review counts vary by source (189 rijloket, 154 clickdrive, 2 rijschoolspecialist).",yes,unknown,in_city,moderate,mixed,74,positive,openai,high,"Students overwhelmingly praise car instructor Franc Jaspar as calm, patient, clear and sociable ('gezellig'), with many reporting passing first time, including learners who had failed repeatedly elsewhere; the main exception is an older 1-star complaint accusing owner Erico of being unprofessional, not honouring appointments and being unreachable, which also openly doubts the Google 5-star reviews.",geduldige instructeur; duidelijke en rustige uitleg; prettige en gezellige lessen; je op je gemak voelen; meedenkend en flexibel met planning; goede begeleiding richting slagen,onprofessioneel gedrag van Erico; afspraken niet nakomen; telefoon niet opnemen; eerste les niet ingepland,"No independent verified-review platform (klantenvertellen.nl) listing found; almost all reviews are Google reviews which are easier to solicit; Heavy concentration of short, similar glowing one-liners centred on one instructor (Franc), several themed around 'in 1x geslaagd' and 'gezellig'; One 1-star reviewer explicitly states the Google 5-star reviews seem doubtful ('trek de vijf sterren reviews op Google sterk in twijfel'); Praise is almost entirely about car instructor Franc; the owner Erico (motor/aanhanger) is the subject of the one substantive negative review",no,no,16,1.043,64.4
Rijschool Danny van den Bergh,ROSMALEN,109,56,57,56.3,46.93,40,ok,109,first_exam,46.6,65.0,18.4,15,established,no,46.6,unknown,low,,,both,https://vindjerijschool.nl/rijscholen/rosmalen/rijschool-danny-van-den-bergh,2011,website,med,https://www.rijschooldvdbergh.nl,06 27450702,Tertsweg 35,5245BH,59669128,2419F7,,,,,"Solo-instructor eenmanszaak run by Danny van den Bergh; CBR registers only category B (auto). Founding inferred from website statement 'Ik geef al ruim 15 jaar met veel plezier rijles' (>15 yr experience as of 2026 => ~2011 or earlier; KvK 59669128 entity likely registered ~2014). Both schakel and automaat packages (10-50 lessons). No evidence of English-language instruction anywhere (all reviews Dutch). Disambiguation: NOT 'Rijschool Danny' in Rotterdam (KvK 59012862, tel 06 11127856) and NOT the Tilburg/Wittemstraat itheorie listing. Email rijschooldvdbergh@ziggo.nl. CBR Den Bosch pass rate ~57% first attempt. Aggregator clickdrive references Google reviews but no aggregate rating/count was retrievable.",yes,unknown,in_city,moderate,thin,88,very_positive,openai,medium,"On aggregators the Rosmalen school (Danny van den Bergh, Wildeweitstraat 7, KvK 59669128) scores 5.0/5 across 21 Google reviews and 100% recommend across 14 Facebook reviews, with a reported 11 of 13 students passing first time; thematic summaries say Danny explains clearly, gives useful feedback, stays calm and patient, and adapts the pace and scheduling to the student. However, almost no individual verbatim review bodies were readable for THIS specific school, so trust is capped at moderate.",hoge slagingskans; duidelijke uitleg; bruikbare feedback; rustig en geduldig; persoonlijke begeleiding; tempo en planning afgestemd op leerling,,"Could not read verbatim individual review bodies for the correct Rosmalen school (KvK 59669128); only aggregate scores and a paraphrased thematic summary were available.; Name collision: a different 'Rijschool Danny' in Rotterdam (KvK 590128620000, rijschooldanny.nl, clickdrive.nl) has detailed 5-star Google reviews that are NOT for this school; those quotes were deliberately excluded.; No independent verified-customer platform (klantenvertellen / Kiyoh) page exists for this school.; No negative or mixed reviews were readable, so the spread could not be assessed; only uniformly positive aggregate signals seen.; Low review volume (21 Google + 14 Facebook) for a 15+ year school.",no,no,3,1.068,54.3
Autorijschool Safe Away,'S-HERTOGENBOSCH,109,32,40,34.4,26.15,85,ok,109,first_exam,24.0,41.2,17.2,2,new,no,24.0,yes,high,"Wij bieden persoonlijke begeleiding in het Nederlands, Arabisch en Engels.",https://safeaway.nl,manual,https://safeaway.nl/over-ons,2024,kvk,low,https://safeaway.nl,06 4555 5000,Doctor Poelsstraat 10,5213 GB,94565716,1820F6,5.0,59,€50/los uur; pakketten €800 (10 lessen) tot €2.240 (40 lessen); CBR praktijkexamen €300; faalangst/B-NAR €350,,"Official site safeaway.nl confirms manual-only (handgeschakelde / schakelauto, rijbewijs B). Multilingual instruction explicitly Dutch, Arabic and English (high confidence). Eenmanszaak, KvK 94565716 (high/recent number consistent with a 2024 registration; exact KvK date not confirmed, so founding_year=2024 is inferred -> low confidence). CBR contact email ahmad.houri@outlook.com (CBR.nl). Google 5.0 / 59 reviews per rijschoolbijmij.nl. CBR slagingspercentage low (~30-40% first-time, period apr 2025-mar 2026, ~37-48 exams) -> consistent with a young school. Faalangst/B-NAR package offered. No waitlist/intake-stop signal found.",yes,unknown,in_city,moderate,mixed,96,very_positive,openai,high,"Across ~11 readable Google reviews students consistently praise the instructor(s) (Ahmad, and a coach named Saif) as patient, clear and good at calming nervous learners, with several reporting they passed the CBR exam on the first try; multiple reviews are written in English by expat learners and the school explicitly teaches in Dutch, Arabic and English. The picture is uniformly glowing but thin and single-platform, and the actual CBR pass statistics are below the city average, so treat the 5.0 rating with some caution.",patient instructors; clear step-by-step explanations; confidence building; calming test-day support; friendly teaching style; experienced and talented teachers; respectful treatment,,"Reviews are overwhelmingly 5-star with very similar positive tone (best, top instructor, passed first try), which can over-represent successful outcomes.; A meaningful share of the Google reviews are rating-only or one-word ('jiid jidan'/'mumtaza') with no substantive text.; Single-platform footprint: real review text only found on Google (via the school's Trustindex-verified widget and aggregators like rijloket); no klantenvertellen, Trustpilot, or Trustoo presence and Facebook shows 0 reviews.; Objective CBR data contradicts the glowing tone: first-time pass rate ~32% and herexamen ~47% (city average ~50-56%), i.e. below average, despite reviews claiming a high success rate.",yes,no,11,1.083,23.7
Autorijschool Johan Helvoirt,HELVOIRT,105,45,50,46.5,37.25,59,ok,105,first_exam,35.8,54.5,18.7,15,established,no,35.8,no,med,Aggregator autorijschooltarieven.nl lists 'Taal: Nederlands'; official site and all aggregators are Dutch-only with no English/Engelse rijles mention.,https://www.autorijschooltarieven.nl/rijschool/autors-johan-helvoirt,unknown,,2011,kvk,high,https://autorijschoolhelvoirt.nl,06-23781131,Nieuwkuijkseweg 6,5268LE,,,,,"€60,00 per les (60 min, per 1 jan 2026); praktijkexamen €264,50",,"Kleinschalige (small-scale) VOF run by Johan and his wife Julia (2 instructors); category B only, exams in Den Bosch / Berkel-Enschot / Tilburg. Lesauto's are Audi Q3 Sportback and Audi Q3 but no explicit automaat/schakel statement, so transmission left unknown. Founding: rijschool-tips KvK data states 'actief sinds 1 juli 2011' (SBI 8553, VOF); official site says lessons available 'Vanaf november 2011'. No reviews found (clickdrive and EduCar show 0 reviews); no Google rating located. Conflicting phone numbers across aggregators: 06-23781131 (rijschool-tips, most recent listing) vs 0411-641033 / 06-13234081 (autorijschooltarieven.nl). No English-instruction evidence anywhere.",yes,unknown,nearby,insufficient,none,50,mixed,agent,,"No customer review text could be found for Autorijschool Johan Helvoirt on any platform. clickdrive.nl explicitly lists 0 reviews, no klantenvertellen page exists, and every other discoverable page is a directory listing with only CBR exam pass-rate statistics (roughly 45-52% first-attempt pass rate at Den Bosch / Berkel-Enschot), not student reviews. With zero readable review bodies, authenticity and sentiment cannot be judged from review content.",,,"No customer review text found on any platform; clickdrive.nl explicitly shows 0,0 / 5 (0 reviews) and 'Er zijn nog geen beoordelingen gevonden voor deze rijschool'; No klantenvertellen.nl page exists for this school (klantenvertellen hits in search belonged to other, unrelated schools); All discoverable pages are directory/aggregator listings (CBR, rijschool-tips, rijlessen.net, educarplatform, autorijschooltarieven, DriveDutch) carrying only business info and CBR exam pass-rate statistics, not student reviews; Small family-run school (Johan + wife Julia, 2 instructors) with no visible online review footprint",unclear,no,0,1.0,41.7
